Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1893-01-01,,57,40,0.01,0,
1893-01-02,,71,37,,0,
1893-01-03,,64,39,,0,
1893-01-04,,70,38,,0,
1893-01-05,,70,41,,0,
1893-01-06,,64,36,,0,
1893-01-07,,67,34,,0,
1893-01-08,,62,35,,0,
1893-01-09,,66,27,,0,
1893-01-10,,64,33,,0,
1893-01-11,,72,35,,0,
1893-01-12,,67,35,,0,
1893-01-13,,61,27,,0,
1893-01-14,,69,39,0.02,0,
1893-01-15,,65,36,,0,
1893-01-16,,46,31,,0,
1893-01-17,,44,37,0.25,0,
1893-01-18,,46,38,1.02,0,
1893-01-19,,46,35,,0,
1893-01-20,,51,24,,0,
1893-01-21,,62,25,,0,
1893-01-22,,68,32,,0,
1893-01-23,,66,35,,0,
1893-01-24,,72,33,,0,
1893-01-25,,73,33,,0,
1893-01-26,,74,41,,0,
1893-01-27,,69,55,0.41,0,
1893-01-28,,69,53,,0,
1893-01-29,,78,49,,0,
1893-01-30,,76,55,,0,
1893-01-31,,74,60,0.04,0,
1893-02-01,,78,55,0,0,
1893-02-02,,77,58,0.04,0,
1893-02-03,,69,50,0.64,0,
1893-02-04,,51,42,0.13,0,
1893-02-05,,72,47,0.01,0,
1893-02-06,,75,59,0,0,
1893-02-07,,70,41,0.03,0,
1893-02-08,,58,35,0,0,
1893-02-09,,72,49,0,0,
1893-02-10,,75,64,0.03,0,
1893-02-11,,70,45,0.23,0,
1893-02-12,,58,46,0.03,0,
1893-02-13,,69,37,0,0,
1893-02-14,,75,69,0,0,
1893-02-15,,75,69,0.04,0,
1893-02-16,,73,65,0.08,0,
1893-02-17,,66,49,0,0,
1893-02-18,,65,38,0,0,
1893-02-19,,72,38,0,0,
1893-02-20,,75,45,0,0,
1893-02-21,,70,61,0.09,0,
1893-02-22,,70,38,0,0,
1893-02-23,,74,41,0,0,
1893-02-24,,72,51,0,0,
1893-02-25,,71,50,0,0,
1893-02-26,,71,52,0.36,0,
1893-02-27,,76,57,0.02,0,
1893-02-28,,72,56,0.01,0,
1893-03-01,,73,45,,0,
1893-03-02,,75,60,0.12,0,
1893-03-03,,75,67,0.01,0,
1893-03-04,,74,35,,0,
1893-03-05,,60,32,,0,
1893-03-06,,72,40,,0,
1893-03-07,,77,54,,0,
1893-03-08,,75,56,0.17,0,
1893-03-09,,81,52,,0,
1893-03-10,,76,48,,0,
1893-03-11,,77,54,,0,
1893-03-12,,83,40,,0,
1893-03-13,,80,50,,0,
1893-03-14,,76,48,,0,
1893-03-15,,69,40,,0,
1893-03-16,,59,45,,0,
1893-03-17,,58,50,1.63,0,
1893-03-18,,59,35,,0,
